,name,description1,description2,description3,description4,description5,description6
103,LODCTR,Load PerfMon performance counters,Load Performance Monitor performance counters,load and enable Performance Monitor performance counters for system monitoring., Enable and initialize Performance Monitor counters,Load and activate Performance Monitor counters,load and configure Performance Monitor performance counters for monitoring purposes.
104,LOGMAN,Manage Performance Monitor logs,Administer and manage Performance Monitor logs,"create, configure, and control Performance Monitor logs for detailed analysis.",Manage and manipulate Performance Monitor logging,"handle the creation, modification, and deletion of Performance Monitor logs.",Administer Performance Monitor log operations and configurations
105,LOGOFF,Log a user off,Log a user off the system for user session management.,Terminate a user session and log the user out of the system,end a user session and ensure secure user disconnection.,Log a user off the computer to end their session and provide a clean logout,force the termination of a user session for security or administrative purposes.
106,LOGTIME,Log the date and time in a file,Record the current date and time in a file,Capture and log the current date and time information in a file for documentation purposes,"append the current date and time to a file, creating a chronological log.",Log the current date and time in a file for tracking and auditing purposes ,Record timestamps by logging the current date and time information in a file
107,MAKECAB,Create .CAB files,Generate Cabinet (.CAB) files for file compression and packaging.,Create compressed archives in Cabinet format for efficient file distribution.,package and compress files into Cabinet archives for streamlined deployment.,produce compressed .CAB files for efficient storage and distribution.,Generate Cabinet archives for compact and organized file packaging and distribution.
108,MAPISEND,Send email from the command line,Send emails directly from the command line for quick and scriptable email communication.,"send emails without the need for a graphical email client, streamlining command-line email sending.",Send email messages from the command line efficiently and programmatically,automate the process of sending emails from the command line for scripting and automation.,"command-line-based email sending, providing flexibility and automation options."
109,Manage-BDE,BitLocker Drive Encryption,BitLocker Drive Encryption to manage and configure encryption settings.,Administer BitLocker Drive Encryption for robust disk protection.,control and configure BitLocker settings for encrypted drives on the system.,Implement and manage BitLocker Drive Encryption with precision ,effective control and administration of BitLocker Drive Encryption settings.
110,MBR2GPT,Convert a disk partition from  Master Boot Record to a GPT,Convert a disk partition from Master Boot Record (MBR) to GUID Partition Table (GPT) for modern disk structure.,"migrate a disk from MBR to GPT, enabling compatibility with UEFI and other modern features.",Convert the partitioning scheme of a disk from MBR to GPT for improved system support.,perform a seamless conversion of disk partitions from MBR to GPT for modernization and compatibility.,transition a disk from Master Boot Record to GUID Partition Table for enhanced disk management.
111,MD,Create a new Directoryʥ,Create a new directory for efficient folder creation.,"make a new directory, providing a straightforward way to organize files.",initiate the creation of a new folder or directory., Create a new directory with ease for streamlined file organization.,"quickly establish a new directory, enhancing file structure and management."
112,MKLINK,Create a symbolic link (linkd)ʥ,Generate a symbolic link  for creating linkd symbolic links.,"establish symbolic links, providing efficient file and folder redirection.",Create symbolic links (linkd) for flexible and dynamic file organization.,"set up symbolic links, enhancing file access and management capabilities.",create symbolic links (linkd) for improved file and folder structure.
113,MODE,Configure a system device COM/LPT/CON,"Configure system devices such as COM, LPT, and CON for efficient control.","set up and configure communication parameters for COM, LPT, and CON devices.","Configure and control system devices like COM, LPT, and CON for tailored settings.",customize and configure communication settings for system devices.,"manage and adjust settings for system devices such as COM, LPT, and CON for optimized functionality."
114,MORE,"Display output, one screen at a time",Display command output one screen at a time for convenient viewing.,view text or command output in a paginated manner for improved readability.,Read command output progressively displaying information screen by screen.,navigate and view large amounts of text or command output in a step-by-step fashion.,"display output gradually, enhancing the user experience when viewing lengthy text or command results."
115,MOUNTVOL,Manage a volume mount point,dminister and manage volume mount points for effective volume control.,"create, delete, or list volume mount points for flexible volume management.",Manage volume mount points efficiently for customized storage configurations.,Administer volume mount points on the system with precision,control and manipulate volume mount points for tailored storage solutions.
116,MOVE,Move files from one folder to anotherʥ,Transfer files from one folder to another for efficient file organization.,"relocate files, facilitating the management and arrangement of data.",Move files seamlessly between folders streamlining file organization tasks.,transfer files and maintain a structured and well-organized file system.,"efficiently move files, improving the overall organization of data on the system."
117,MOVEUSER,Move a user from one domain to another,,,,,
118,MSG,Send a message,Send messages to other users or remote sessions for communication.,transmit messages to specific users or remote sessions on the network.,Send textual messages between users or remote sessions for real-time communication.,facilitate communication by sending messages to other users or sessions.,"sending messages, enhancing collaborative communication on a networked system."
119,MSIEXEC,Microsoft Windows Installer,Execute Microsoft Windows Installer operations for software installation and management.,"install, update, or uninstall software packages leveraging the Microsoft Windows Installer technology.",Administer Windows Installer tasks efficiently for software deployment and maintenance.,precise control and management of installations and configurations using Windows Installer.,Execute Microsoft Windows Installer commands for effective software package handling on Windows systems.
120,MSINFO32,System Information,Access detailed system information for comprehensive system analysis.,"Retrieve and view a wide range of system details, hardware, and software information","generate a comprehensive report on system information, aiding in troubleshooting and diagnostics.","access detailed information about the computer's configuration, resources, and settings.",in-depth analysis and reporting of system information for troubleshooting and maintenance purposes.
121,MSTSC,Terminal Server Connection/Remote Desktop Protocol(RDP),Initiate a Terminal Server Connection for Remote Desktop Protocol (RDP) access.,"establish remote desktop connections, providing access to remote systems over the network.",Remote Desktop Protocol to remotely control and manage systems.,Connect to remote servers or desktops facilitating remote access and administration.,"seamless Remote Desktop Protocol connections, enabling efficient remote system management."
122,NET,Manage network resources,Administer and manage network resources for efficient network operations.,"wide range of network-related operations, enhancing network resource management and control.","Administer user accounts, groups, and network shares for versatile network management.","perform various network-related tasks, including sharing, mapping drives, and user management.","configure and control network settings, services, and resources."
123,NETDOM,Domain Manager,"versatile domain management, enabling efficient control and configuration of domain resources.","domain-related operations, facilitating tasks such as renaming a computer, joining or leaving a domain, etc.",Administer and manipulate domain resources and settings  for streamlined domain control.,"tasks related to domain management, including joining domains, querying domain information, and more.",Manage domains for efficient domain administration and control.
124,NETSH,"Configure Network Interfaces, Firewall & Remote access",Configure network interfaces for versatile network management and settings.,"manage and manipulate firewall settings, providing control over inbound and outbound network traffic.",Administer remote access settings and configurations for efficient remote connectivity management.,"Configure and control network interfaces, firewall rules, and remote access parameters","comprehensive network configuration, enabling fine-tuning of network interfaces, firewall, and remote access settings."
125,NBTSTAT,Display networking statistics (NetBIOS over TCP/IP),Display networking statistics for NetBIOS over TCP/IP for detailed insights.,"view NetBIOS statistics, aiding in network troubleshooting and diagnostics.",Access and analyze networking statistics related to NetBIOS over TCP/IP ,"gather information on NetBIOS sessions, names, and other networking parameters.",retrieve and display NetBIOS over TCP/IP statistics for effective network analysis.
126,NETSTAT,Display networking statistics (TCP/IP),Display networking statistics for TCP/IP for comprehensive network analysis.,"view active network connections, listening ports, and routing tables for troubleshooting.",Access real-time information about TCP/IP connections and network statistics,"Monitor and analyze TCP/IP networking statistics, including established connections and routing information","detailed insights into TCP/IP networking, providing valuable information for network troubleshooting and diagnostics."
127,NLSINFO,Display locale information (reskit),,,,,
128,NLTEST,Network Location Test (AD),Conduct network location tests for Active Directory (AD) environments.,testing and verifying network locations within Active Directory for domain-related operations.,Administer network location tests in Active Directory for diagnostic purposes.,Perform network location testing to validate Active Directory configurations and connectivity,troubleshooting and verifying network location-related aspects in an Active Directory environment.
129,NMBIND,Manage Hyper-V network bindings,,,,,
130,NOW,Display the current Date and Time,,,,,
131,NSLOOKUP,Name server lookup,Perform name server lookups for querying DNS records and resolving domain names.,troubleshooting DNS-related issues by querying name servers for specific domain information.,Administer name server lookups to retrieve detailed information about domain names and their corresponding IP addresses.,diagnosing DNS configuration problems and obtaining information about domain name resolution.,"interactive querying of name servers, providing insights into domain name resolution processes."
132,NTBACKUP,Windows Backup folders to tape,Backup folders to tape for tape-based data protection and recovery.,creating and managing backups of folders to tape media for archival and recovery purposes.,Administer tape-based backup operations for robust data protection and storage.,"perform scheduled or manual backups of folders to tape, ensuring data integrity and availability.","efficient and reliable backup of folders to tape, offering a comprehensive data backup solution on Windows systems."
133,NTDSUtil,Active Directory Domain Services management,Manage Active Directory Domain Services for efficient AD management.,performing various administrative tasks related to Active Directory Domain Services.,Administer and troubleshoot Active Directory components and settings ,"tasks such as metadata cleanup, domain management, and AD maintenance.", advanced management and maintenance of Active Directory Domain Services configurations and components.
134,NTRIGHTS,Edit user account rights,Edit user account rights for precise control over user privileges.,"modify and manage user account rights, granting or revoking specific permissions.",Administer user privileges and permissions for fine-grained control.,Modify and customize user account rights efficiently for enhanced security.,"editing and configuring user account rights, ensuring proper access control and security settings."
135,NVSPBIND,Modify network bindings,,,,,
136,OPENFILES,Query or display open files,Query and display open files for insights into current file usage.,retrieve information about files that are currently open on a system.,Administer file usage details providing a snapshot of open files.,Retrieve and display information about open files for efficient file management.,"querying and displaying open files, aiding in monitoring and troubleshooting file access."
137,PATH,Display or set a search path for executable filesʥ,Display or set a search path for executable files for efficient command execution.,"view or configure the search path, ensuring proper execution of commands.",Administer the search path for executable files for streamlined command accessibility.,Display or modify the executable file search path for optimized command execution.,Set or view the search path for executable files ensuring effective command availability.
138,PATHPING,Trace route plus network latency and packet loss,Perform a trace route with added network latency and packet loss information for comprehensive network diagnostics.,trace the route to a destination while obtaining detailed latency and packet loss statistics for each hop in the network.,"Administer network troubleshooting offering enhanced insights into the network path, latency, and potential packet loss.","advanced trace route analysis, including valuable information on network latency and packet loss.",obtain a more detailed picture of network performance by combining trace route with latency and packet loss metrics for each network hop.
139,PAUSE,Suspend processing of a batch fileʥ,Suspend processing of a batch file allowing users to interact and control the execution flow.,"halt the execution of a batch file, providing a pause point for user intervention or inspection.",Administer a temporary pause in batch file execution for troubleshooting or debugging.,"Suspend processing to create breakpoints in batch files, allowing step-by-step execution","introduce pauses in batch files, facilitating controlled and interactive execution."
140,PERMS,Show permissions for a user,,,,,
141,PING,Test a network connection,Test a network connection for verifying connectivity to a specific host or IP address.,troubleshoot network issues by checking the reachability of a destination and measuring round-trip time.,Administer network diagnostics assessing packet delivery and response times.,Conduct routine network checks and verify connectivity for efficient network troubleshooting.,"monitoring of network connectivity and responsiveness, aiding in network health assessment."
142,PKTMON,Monitor internal packet propagation and packet drop reports,Monitor internal packet propagation and packet drop reports for in-depth network analysis.,"capture and analyze internal packet movement within the network, including reports on packet drops.",Administer network monitoring gaining insights into packet flow and potential issues related to dropped packets.,"detailed tracking of internal packet propagation, providing valuable information for network troubleshooting.","generate reports on packet drop occurrences and internal packet movement, enhancing network visibility and analysis."
143,PNPUTIL,Plug and Play Utility,manage Plug and Play devices on Windows systems.,Administer device driver installations and removals for Plug and Play device management.,"managing Plug and Play devices, including installing, updating, or uninstalling device drivers.","interact with the Plug and Play subsystem, facilitating the management of device drivers on the system.","efficient Plug and Play device administration, ensuring smooth device installation and removal processes."
144,POPD,Return to a previous directory saved by PUSHDʥ,Return to a previous directory saved by PUSHDfor convenient directory navigation.,"revert to a directory previously saved by PUSHD, simplifying the process of moving between directories.",Administer directory navigation with ease to return to a previously saved directory.,"efficient directory management, allowing quick access to previously visited directories.","streamline directory changes, providing a straightforward way to return to saved directories."
145,PORTQRY,Display the status of ports and services,Display the status of ports and services for network troubleshooting and analysis.,"check the availability and status of ports, aiding in the identification of network issues.",Administer network diagnostic obtaining information on port availability and service status.,"verifying the status of ports and services, facilitating comprehensive network assessments.","detailed port and service status reports, enhancing network visibility and troubleshooting capabilities."
146,POWERCFG,Configure power settings,Configure power settings for managing power options and energy efficiency.,"customize power plans, enabling efficient control over system power consumption.",Administer power configurations ensuring optimal power management on Windows systems.," adjusting and optimizing power settings, enhancing energy efficiency and battery life.","fine-tune power plans and settings, providing flexibility and control over power management on the system."
147,PRINT,Print a text file,Print a text file for straightforward and quick printing of text documents.,"send a text file to a printer, facilitating the easy generation of hard copies.",Administer document printing providing a simple way to print plain text files.,"efficient text file printing, streamlining the process of creating physical copies.","initiate the printing of text files, ensuring a seamless and direct printing experience."
148,PRINTBRM,Print queue Backup/Recovery,Perform print queue backup and recovery for ensuring the resilience of print configurations.,"backing up and restoring print queues, providing a safeguard against print system failures.",Administer print queue management enabling efficient backup and recovery operations.,"safeguarding print configurations, allowing for quick recovery in case of system changes or failures.","comprehensive print queue backup and recovery, ensuring the continuity of print services."
149,PRNCNFG,Configure a printer,Configure a printer for detailed control over printer settings and configurations.,"access and modify printer configurations, ensuring optimal performance and functionality.",Administer printer settings providing a versatile tool for customizing print options.,"fine-tuning printer configurations, enabling precise control over print output and behavior.","configure printers, facilitating tailored adjustments to meet specific printing requirements."
150,PRNDRVR,"Add, delete or list print drivers.","Manage print drivers by adding, deleting, or listing them for streamlined print driver administration.","efficient addition, removal, or listing of print drivers, ensuring a well-maintained print environment.",Administer print driver operations providing control over driver configurations.,"precise management of print drivers, facilitating easy addition or removal as needed.","comprehensive print driver administration, supporting a well-organized and up-to-date printer infrastructure."
151,PRNJOBS,"Pause, resume, cancel, or list print jobs.","Pause, resume, cancel, or list print jobs effective control over print job management.","handling print jobs by pausing, resuming, canceling, or listing them, ensuring efficient print queue management.",Administer print job operations providing versatile options for job control and monitoring.,"precise management of print jobs, allowing for easy manipulation and oversight of print queue activities.","comprehensive print job management, supporting a responsive and well-maintained print environment."
152,PRNMNGR,"Add, delete, or list printer connections.","Manage printer connections by adding, deleting, or listing them for efficient printer connection administration.","streamlined addition, removal, or listing of printer connections, ensuring a well-configured print environment.",Administer printer connection operations providing control over connection configurations.,"precise management of printer connections, facilitating easy addition or removal as needed.","comprehensive printer connection administration, supporting a well-organized and up-to-date printer infrastructure."
153,PRNPORT,"Manage Printer Ports, change port configuration.",Manage printer ports and change port configurations for effective printer port administration.,"streamlined management of printer ports, facilitating changes to port configurations as needed.",Administer printer port operations providing control over port settings and configurations.,"precise management of printer ports, allowing for easy adjustments to meet specific connectivity requirements.","comprehensive printer port administration, supporting a well-configured and adaptable print environment."
154,PRNQCTL,"Manage Print Queues, print a test page.",Manage print queues and print test pages for efficient print queue administration.,"streamlined management of print queues, facilitating tasks such as printing test pages for verification.",Administer print queue operations providing versatile options for queue control and monitoring.,"precise management of print queues, allowing for easy manipulation and oversight of queue activities.","comprehensive print queue administration, supporting a responsive and well-maintained print environment."
155,ProcDump,Monitor an application for CPU spikes,Monitor an application for CPU spikes for capturing and analyzing process information during high CPU usage.,"capture and create dump files of a process when CPU spikes occur, aiding in troubleshooting and diagnosis.",Administer application monitoring providing insights into CPU performance and potential issues.," proactive monitoring of applications, enabling the detection and analysis of CPU spikes for optimization.","comprehensive monitoring of application behavior, allowing for the identification and resolution of CPU-related issues."
156,PROMPT,Change the command promptʥ,Change the command prompt for customization of the command line interface.,"modify the appearance of the command prompt, providing a personalized and informative prompt.",Administer command prompt customization allowing for user-specific prompt configurations.,"adjusting the command prompt to display relevant information, enhancing the user experience.","flexible customization of the command prompt, tailoring it to meet specific preferences and needs."
157,PsExec,Execute process remotely,Execute processes remotely for seamless and secure remote process management.,"running processes on remote machines, providing a convenient way to execute commands across a network.",Administer remote process execution facilitating efficient management of tasks on remote systems.,"executing processes on remote computers, streamlining remote administration tasks.","execute processes remotely, enabling remote command execution for enhanced system management."
158,PsFile,Show files opened remotely,Show files opened remotely for comprehensive visibility into files accessed on remote systems.,"display files that are currently open on remote machines, providing insights into remote file usage.",Administer remote file access monitoring allowing for efficient tracking of open files across the network.,"detailed reporting on files opened remotely, aiding in file management and security assessments.","show and analyze files opened on remote systems, enhancing visibility and control over remote file access."
159,PsGetSid,Display the SID of a computer or a user,Display the SID (Security Identifier) of a computer or a user for obtaining unique identification information.,"retrieve and show the SID of a computer or user, facilitating security and identity management.",Administer SID display operations providing essential information for user and system identification.,"obtain and display SIDs, aiding in security assessments and user identification processes.","showing the SID of a computer or user, supporting security-related tasks and identity verification."
160,PsInfo,List information about a system, List information about a system for a comprehensive overview of system details and configurations.,"retrieve and display information about a system, including hardware, software, and network settings.",Administer system information listing providing a detailed snapshot of the target system.,"comprehensive system analysis, aiding in troubleshooting and system documentation.","obtain detailed information about a system, supporting tasks such as inventory management and system profiling."
161,PsKill,Kill processes by name or process ID,Kill processes by name or process ID for efficient and targeted process termination.,"end processes based on either their names or process IDs, providing flexibility in termination options.",Administer process termination allowing for quick and precise control over running processes.,"terminate processes by name or ID, streamlining the process of managing and troubleshooting applications.","kill processes effectively, enabling the swift resolution of issues related to specific processes on a system."
162,PsList,List detailed information about processes,List detailed information about processes for a comprehensive view of running processes on a system.,"retrieve and display detailed information about processes, including memory usage and other relevant details.",Administer process listing operations providing a thorough overview of the processes running on a system.,"in-depth process analysis, aiding in troubleshooting and performance monitoring.","obtain detailed information about processes, supporting tasks such as process management and system diagnostics."
163,PsLoggedOn,Who's logged on (locally or via resource sharing),"Determine who's logged on, locally or via resource sharing for visibility into active user sessions.","identify and list users who are currently logged on to a system, whether locally or through resource sharing.",Administer user session tracking providing insights into current active logins on a system.,"monitoring and reporting on logged-on users, supporting security and user management tasks."," check and display information about users currently logged on, aiding in system monitoring and administration."
164,PsLogList,Event log records,Retrieve and display event log records for a detailed view of system events and logs.,"access and list event log records, allowing for efficient event log analysis.",Administer event log operations providing a tool for comprehensive event log inspection.,"extracting and examining event log records, aiding in troubleshooting and system monitoring.","obtain a structured view of event log data, supporting tasks such as security auditing and log analysis."
165,PsPasswd,Change account password,Change account password for secure and efficient password management.,"modify account passwords, ensuring strong security practices and password updates.",Administer password changes providing a command-line tool for password modification.,"secure account password updates, supporting user authentication and access control.","changing account passwords, facilitating password maintenance and enhancing system security."
166,PsPing,Measure network performance,Measure network performance for comprehensive analysis of network latency and responsiveness.,"assess and quantify network performance, providing valuable insights into network behavior.",Administer network performance testing allowing for efficient measurement of latency and response times.,"accurate measurement of network performance metrics, aiding in network optimization.","analyze and benchmark network performance, supporting troubleshooting and performance tuning efforts."
167,PsService,View and control services,View and control services for comprehensive service management and monitoring.,"access and manipulate services, offering a command-line interface for service control.",Administer service operations providing a versatile tool for service management.,"efficient service viewing and control, facilitating streamlined service administration.","inspect and manage services, supporting tasks such as service configuration and troubleshooting."
168,PsShutdown,Shutdown or reboot a computer,Shutdown or reboot a computer for controlled and scripted system shutdowns or restarts.,"initiate shutdown or reboot commands, providing a flexible tool for system management.",Administer system shutdowns allowing for scripted and remote shutdown operations.,"reliable computer shutdowns or reboots, supporting automated and remote system control.","efficient and scripted shutdowns, enabling systematic control over system power management."
169,PsSuspend,Suspend processes,Suspend processes for temporary process suspension and control.,"pause or suspend processes, providing a flexible tool for process management.",Administer process suspension allowing for controlled and temporary halting of specific processes.,"efficient process suspension, facilitating troubleshooting and analysis of running applications.","temporarily halt processes, supporting tasks such as debugging and system maintenance."
170,PUSHD,Save and then change the current directoryʥ,Save and then change the current directory for efficient directory navigation and management.,switch between directories while preserving the current directory for easy navigation.,Administer directory changes providing a convenient way to switch between directories in a batch script.,"seamless directory navigation, allowing for the quick saving and changing of current directories.","streamline directory operations, supporting tasks such as file manipulation and organization."
171,QPROCESS,Query Process Display processes,Query process display for obtaining detailed information about running processes.,"retrieve and display information about active processes, aiding in process management and analysis.",Administer process querying operations providing a command-line tool for process inspection.,"obtaining structured data on running processes, supporting troubleshooting and system monitoring.","query and display information about processes, facilitating comprehensive process analysis and management."
172,QWinsta,Query Session Display all sessions (TS/Remote Desktop),"Query session display for obtaining information about all sessions, including Terminal Services or Remote Desktop sessions.","retrieve and display details about active sessions, providing insights into connected users and their session status.",Administer session querying operations allowing for effective monitoring and management of active sessions.,"obtaining structured data on all sessions, supporting tasks such as user tracking and session analysis.","query and display information about sessions, facilitating comprehensive session monitoring and administration."
173,QAppSrv,Query TermServer List all servers (TS/Remote Desktop),,,,,
174,QUSER,Query User Display user sessions (TS/Remote Desktop),"Query user display for obtaining information about user sessions, including Terminal Services or Remote Desktop sessions.","retrieve and display details about active user sessions, providing insights into connected users and their session status.",Administer user session querying operations allowing for effective monitoring and management of active user sessions.,"obtaining structured data on user sessions, supporting tasks such as user tracking and session analysis.","query and display information about user sessions, facilitating comprehensive user session monitoring and administration."
175,RASDIAL,Manage RAS connections,Manage RAS (Remote Access Service) connections for efficient control over dial-up and VPN connections.,"establish, disconnect, or manage RAS connections, providing a command-line interface for connection control.",Administer RAS connection operations allowing for scripted management of dial-up and VPN connections.,"seamless management of Remote Access Service connections, supporting tasks such as connection automation.","comprehensive control over RAS connections, facilitating automated and scripted connection management."
176,RASPHONE,Manage RAS connections,Manage RAS (Remote Access Service) connections for efficient control over dial-up and VPN connections.,"establish, disconnect, or manage RAS connections, providing a command-line interface for connection control.",Administer RAS connection operations allowing for scripted management of dial-up and VPN connections.,"comprehensive control over RAS connections, facilitating automated and scripted connection management.",
177,RD,Delete a Directoryʥ, Delete a directory for efficient removal of directories and subdirectories.,"delete a directory, providing a straightforward command for directory deletion.",Administer directory deletion operations allowing for quick and reliable removal of folders.,"seamless directory removal, supporting tasks such as file organization and cleanup.","delete directories, facilitating efficient management of file system structure and content."
178,RECOVER,Recover a damaged file from a defective disk,Recover a damaged file from a defective disk for file restoration from disk errors.,"attempt file recovery from a damaged disk, providing a tool for data restoration in case of disk issues.",Administer file recovery operations offering a command-line interface for attempting to recover damaged files.,"attempting to recover files from a defective disk, supporting data retrieval in challenging disk scenarios.","file restoration from defective disks, providing a potential solution for recovering data from damaged storage media."
179,REG,"Registry: Read, Set, Export, Delete keys and values","Registry operations for reading, setting, exporting, and deleting keys and values in the Windows Registry.","efficient manipulation of registry entries, providing a command-line interface for registry management.","Administer registry operations allowing for scripted modification, export, and deletion of registry keys and values.","seamless registry management, supporting tasks such as configuration changes and troubleshooting.","comprehensive registry actions, facilitating efficient modification and control over registry settings."
180,REGEDIT,Import or export registry settings,Import or export registry settings for managing and transferring registry configurations.,"facilitate the import or export of registry settings, providing a graphical interface for registry manipulation.",Administer registry settings import/export operations allowing for user-friendly registry management.,"streamlined management of registry configurations, supporting tasks such as backup and restoration.","efficient import or export of registry settings, providing a visual tool for registry-related tasks."
181,REGSVR32,Register or unregister a DLL,Register or unregister a DLL for seamless management of dynamic link libraries.,"register or unregister DLL files, providing a command-line interface for DLL-related operations.",Administer DLL registration or unregistration allowing for scripted management of dynamic link libraries.,"efficient DLL registration or unregistration, supporting tasks such as component installation or removal.","comprehensive control over DLL files, facilitating the management of shared libraries on the Windows operating system."
182,REGINI,Change Registry Permissions,Change registry permissions for efficient modification of access control settings in the Windows Registry.,"adjust registry permissions, providing a command-line interface for fine-grained control over registry security.",Administer registry permission changes allowing for scripted management of access rights in the registry.,"seamless modification of registry permissions, supporting tasks such as security configuration and access control.","comprehensive control over registry access permissions, facilitating the customization of security settings in the Windows Registry."
183,REM,Record comments (remarks) in a batch fileʥ,Record comments (remarks) in a batch file for adding explanatory notes and annotations.,"insert comments in a batch file, providing a way to document and explain various sections of the script.",Administer comment recording allowing for clear and concise documentation within batch files.,"adding remarks and comments to enhance the readability of batch scripts, supporting code documentation.","include comments and remarks, facilitating communication and understanding of the batch file's functionality and purpose."
184,REN,Rename a file or filesʥ,Rename a file or files for efficient and straightforward file renaming.,"rename individual files or groups of files, providing a command-line interface for file renaming operations.",Administer file renaming allowing for scripted management of file name changes.,"seamless renaming of files, supporting tasks such as file organization and naming conventions.","comprehensive control over file names, facilitating efficient file management and organization."
185,REPLACE,Replace or update one file with another,Replace or update one file with another for efficient file replacement.,"update or swap files, providing a command-line interface for file management.",Administer file replacement operations allowing for scripted updates and modifications.,"seamless file replacement, supporting tasks such as version updates or content changes.","comprehensive control over file updates, facilitating efficient file management and synchronization."
186,Reset Session,Delete a Remote Desktop Session,,,,,
187,RMDIR,Delete a Directoryʥ,Delete a directory for efficient removal of directories and subdirectories.,"delete a directory, providing a straightforward command for directory deletion.",Administer directory deletion operations allowing for quick and reliable removal of folders.,"seamless directory removal, supporting tasks such as file organization and cleanup.","delete directories, facilitating efficient management of file system structure and content."
188,RMTSHARE,Share a folder or a printer,Share a folder or a printer for efficient and scripted sharing of resources.,"create shares for folders or printers, providing a command-line interface for resource sharing.",Administer resource sharing operations allowing for scripted management of shared resources.,"seamless creation of shared folders or printers, supporting tasks such as network resource access.","comprehensive control over resource sharing, facilitating efficient collaboration and access to shared resources."
189,ROBOCOPY,Robust File and Folder Copy,Robust File and Folder Copy for reliable and efficient copying of files and directories.,"advanced file and folder copy operations, providing a command-line interface for versatile copying tasks.",Administer file and folder copying allowing for scripted and resilient data replication.,"seamless copying of files and folders, supporting tasks such as backup, migration, and synchronization.","comprehensive control over file and folder copying, facilitating efficient data management and transfer."
190,ROUTE,Manipulate network routing tables,Manipulate network routing tables for efficient control over routing configurations.,"modify network routing tables, providing a command-line interface for routing management.",Administer routing table operations allowing for scripted management of network routes.,"seamless manipulation of network routing, supporting tasks such as customizing network traffic paths.","comprehensive control over network routing tables, facilitating efficient network configuration and optimization."
191,RUN,Start | RUN commands,Execute Start | RUN commands for quick access to various system utilities and programs.,"launch Start | RUN commands, providing a command-line interface for convenient execution of commands.",Administer Start | RUN command operations allowing for scripted execution of common system tasks.,"seamless access to system utilities and programs, supporting tasks such as application launching and configuration.","comprehensive control over executing Start | RUN commands, facilitating quick access to system resources and tools."
192,RUNAS,Execute a program under a different user account,Execute a program under a different user account for running applications with elevated privileges.,"launch programs as a different user, providing a command-line interface for elevated execution.",Administer program execution operations with different user credentials  allowing for scripted management of user access.,"seamless execution of programs under alternate user accounts, supporting tasks such as system administration.","comprehensive control over running programs with elevated privileges, facilitating secure and controlled access to applications."
193,RUNDLL32,Run a DLL command (add/remove print connections),Run a DLL command for executing operations such as adding or removing print connections.," run DLL commands, providing a command-line interface for performing specific tasks within dynamic link libraries.",Administer DLL command operations allowing for scripted execution of tasks related to print connections.,"seamless execution of DLL commands, supporting tasks such as printer management and configuration.","comprehensive control over running DLL commands, facilitating efficient and targeted operations within dynamic link libraries."
194,SC,Service Control,Service Control for managing Windows services and their configurations.,"control and configure services, providing a command-line interface for service management.",Administer service control operations allowing for scripted management of Windows services.,"seamless manipulation of services, supporting tasks such as starting, stopping, and configuring services.","comprehensive control over service management, facilitating efficient administration and configuration of Windows services."
195,SCHTASKS,Schedule a command to run at a specific time,Schedule a command to run at a specific time for efficient task scheduling.,"create scheduled tasks, providing a command-line interface for task automation.",Administer task scheduling operations allowing for scripted management of scheduled commands.,"seamless scheduling of commands, supporting tasks such as automated system maintenance and backups.","comprehensive control over task scheduling, facilitating efficient automation of commands at specified times."
196,ScriptRunner,Run one or more scripts in sequence,,,,,
197,SET,"Display, set, or remove session environment variablesʥ","Display, set, or remove session environment variables for managing session-specific variables.","to view, modify, or remove environment variables, providing a command-line interface for environment management.",Administer session environment variable operations allowing for scripted management of environment configurations.,"seamless manipulation of environment variables, supporting tasks such as configuration changes and customization.","comprehensive control over session environment variables, facilitating efficient management of the command-line environment."
198,SETLOCAL,Control the visibility of environment variablesʥ,Control the visibility of environment variables for managing the scope of environment variable changes.,"restrict the visibility of environment variable modifications, providing a command-line interface for scoped variable changes.",Administer environment variable scope operations allowing for scripted management of variable visibility.,"seamless control over the visibility of environment variables, supporting tasks such as temporary configuration changes.","comprehensive control over the scope of environment variable modifications, facilitating efficient and isolated changes to the command-line environment."
199,SetObjectSecurity,"Set  security  for  an object (file, directory, reg key etc).","Set security for an object (file, directory, registry key, etc.) for managing access control settings.","configure security settings for various objects, providing a command-line interface for access control management.",Administer security settings for objects allowing for scripted management of access rights.,"seamless modification of security configurations, supporting tasks such as permission changes and access restrictions.","comprehensive control over setting security for different types of objects, facilitating efficient access control and security management."
200,SetSPN,Edit Service Principal Names,Edit Service Principal Names for managing and configuring Service Principal Names in Active Directory.,"modify Service Principal Names, providing a command-line interface for SPN management.",Administer SPN editing operations allowing for scripted management of Service Principal Names.,"seamless modification of SPNs, supporting tasks such as service account configuration and authentication settings.","comprehensive control over editing Service Principal Names, facilitating efficient configuration of authentication properties in Active Directory."
201,SETX,Set environment variables,Set environment variables for persistently configuring system or user-specific variables.,"define and update environment variables, providing a command-line interface for long-term variable changes.",Administer environment variable setting operations allowing for scripted management of persistent environment configurations.," seamless configuration of environment variables, supporting tasks such as system-wide settings and user-specific preferences.","comprehensive control over setting environment variables, facilitating efficient and persistent modifications to the command-line environment."
